c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100
Intro_Text (UnityEngine.GameObject)
0,0,0,0.0204223,0,0,0,0,0,0,0.0110818,0,0,0.0308326,0,0,0,0,0,0,0,0,0,0,0,0.0108295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110989,0,0,0.0111066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0118725,0.0111992,0,0,0,0,0,0,0.0334106,0.1201372,0,0,0,0,0.0085633,0.0086556,0,0,0.0087946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0111698,0,0,0,0,0,0,0,0,0,0,0,0,0.0086268,0,0,0,0,0,0,0.0089463,0,0,0,0,0,0.0312155,0,0.0088044,0.010957,0.0090285,0,0.0186925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111868,0.0221547,0,0.0108471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0089107,0,0,0.0111704,0,0.0110596,0.0110965,0.0110452,0,0,0,0,0.0089443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111655,0.0090389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111601,0,0,0,0,0.0111372,0,0,0,0,0,0,0,0,0,0,0,0.0110601,0.0115893,0,0,0,0,0.0110913,0,0,0,0.0112187,0,0.0111438,0,0.0108198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0197804,0,0,0.0092475,0,0.011261,0.0085588,0.0195048,0,0,0.0111239,0,0.0089129,0.0110213,0.08605909,0,0,0,0,0,0,0,0,0,0.0117079,0,0.0112171,0,0.0092673,0,0,0.0091153,0.0304368,0.1502159,0.011082,0,0.0092562,0,0,0.0099055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111459,0.0228347,0,0.0113209,0,0.0111372,0.0096807,0.0680151,0.0332412,0,0,0.0221211,0,0,0.0110867,0.0111211,0.0112897,0,0.0200009,0.0093678,0.0699346,0,0,0,0,0,0,0.0332706,0.0109167,0.0114864,0.0111109,0,0,0,0,0,0.0197295,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0226033,0,0,0,0,0,0,0,0,0.0111001,0,0,0,0,0.0332419,0.0110807,0,0.0222448,0,0,0,0,0,0,0.0336665,0.0524655,0,0.0110869,0,0,0,0,0,0,0,0,0,0,0.0090801,0,0,0,0,0,0,0,0,0.0333714,0.0435088,0.0307264,0.0313751,0,0.0605936,0.0219277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445485,0.0332483,0.0119109,0,0,0,0.0110564,0.0112136,0.0111449,0,0,0,0,0,0.0118301,0.0112429,0,0.0460921,0,0,0,0,0,0,0,0
0,0,0,0,0.0143222,0.0296118,0.0207709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230427,0,0.0111913,0.0335983,0,0,0,0,0,0,0,0.011158,0.0111302,0.0110603,0,0,0.0112642,0,0,0,0,0,0,0.0196565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199101,0,0.0332004,0,0,0,0,0,0.0109797,0,0.0111327,0,0.0109706,0.0117983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0111906,0,0,0,0,0,0,0,0,0,0,0,0.0111087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182966,0.0285935,0.0441236,0,0,0,0.0221085,0.0111495,0.0109534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529632,0.0287608,0.0286914,0,0,0,0.0113183,0,0,0,0.0111032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111274,0.0222828,0,0,0,0,0,0,0.0087092,0.0221214,0,0,0,0.0118924,0,0,0,0,0,0.0116684,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011088,0,0,0,0.0111372,0,0,0.0100695,0,0.0205486,0,0.0307199,0.0093271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
