c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100
Intro_Text (UnityEngine.GameObject)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091786,0.0112363,0,0,0,0,0.0113744,0.0086793,0.0110665,0.0222843,0,0,0,0,0,0,0,0,0,0,0.0111805,0.0438706,0.0110212,0,0,0,0,0,0,0.0111825,0.0111491,0,0,0,0,0,0,0,0.0087914,0,0.0112477,0.0111755,0.042475,0.0211976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111864,0.0316516,0.039087,0,0,0,0,0
0.0114341,0,0,0,0,0,0,0,0,0,0,0.0110504,0,0.0077355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315015,0,0.0112379,0.0111174,0,0,0,0,0.0089442,0.0781946,0.048192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112141,0,0,0,0,0.0116025,0,0,0,0.0111546,0,0,0.0092053,0,0,0,0.0213207,0.053223,0.100754,0.0291939,0.0398834,0,0,0,0,0,0,0,0,0,0,0,0,0.0227808,0.0092756,0,0,0,0,0.0088765,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0222416,0,0,0,0,0,0,0,0.010818,0,0,0,0,0,0,0,0.0110756,0,0,0,0,0,0,0,0.0443954,0.0437622,0,0,0,0,0,0,0,0,0.0110889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1896848,0.0802187,0.0110608,0,0.0493612,0.0505898,0.055422,0,0,0,0,0,0,0,0,0,0.0110667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388895,0,0,0,0,0
0,0,0,0,0.0110659,0,0,0,0,0,0,0,0,0.0115343,0,0,0,0,0.0082339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117035,0.0176419,0.017831,0.0199106,0,0.0210931,0,0,0,0,0,0,0.0110489,0.0110614,0.0221006,0,0,0,0,0,0,0,0,0.0775546,0.0744949,0.0195213,0.0089009,0,0.0310821,0,0,0,0,0,0,0.0095637,0.0110592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0109646,0,0,0,0,0,0,0,0,0,0,0.0200574,0,0.0103491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0090953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421062,0.0093352,0.0310067,0,0,0,0,0,0,0.0109909,0.0111697,0.0227426,0,0,0,0,0,0.0085232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0111568,0,0,0,0.0113057,0,0,0,0,0.0112779,0.0090582,0.0295081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030945,0,0.0223299,0.0110093,0,0.010889,0,0,0.0110632,0,0,0,0.0110085,0,0,0,0.0111457,0.0117562,0.0287793,0.0078511,0,0.0333715,0,0,0.0111911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009802,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0111955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06517719,0.0309899,0.0221967,0.0113809,0,0,0,0,0,0.0112676,0,0,0,0,0,0,0.0204184,0,0,0,0.011251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091501,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0333877,0.0110795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111013,0,0,0,0.0223324,0.0079232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033203,0.0203027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0110741,0,0,0.0221487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0110149,0,0,0.0111818,0.0223218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174086,0,0,0,0,0.0111225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118578,0,0,0,0,0,0,0.0194016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0089288,0,0,0,0,0,0,0,0,0,0.0080271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093322,0,0.0112091,0,0,0,0,0,0.0199174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.009002,0,0,0,0,0,0,0,0,0,0.0198216,0.0113806,0.0091596,0,0,0,0.0220426,0,0,0,0.0089783,0,0,0.0113404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113706,0,0.0095214,0.0227468,0,0.0222176,0.0091576,0,0,0,0,0.032454,0.0090172,0.0244669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118015,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199713,0,0,0,0.0110418,0,0.0089495,0.0222047,0,0,0,0.0110253,0.0111499,0.0111787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117519,0,0,0,0,0.0111301,0,0,0,0,0.0110687,0,0,0,0,0.0079477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0110358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222821,0,0,0,0.0111632,0.0108946,0.0111202,0.0222433,0.0111594,0,0,0.01107,0,0,0,0,0,0,0,0,0,0.0089008,0.008962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112619,0.01997,0.0260782,0.0200582,0,0,0,0,0.011175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168563,0,0,0,0.009142,0,0,0,0,0,0,0,0,0,0,0,0,0.0202708,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01107,0,0,0,0,0,0.0109836,0.0221169,0.0222256,0,0,0,0,0,0,0,0,0,0,0,0.0102306,0,0,0,0.0091843,0,0,0,0,0.0106692,0,0,0,0,0.0112038,0,0.0112184,0.0111902,0.0111359,0.0110841,0,0,0.0111183,0.0110764,0,0,0.0196399,0,0,0,0,0,0,0,0.0116376,0,0,0.0111861,0.0088695,0,0,0,0,0,0,0,0.0224156,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524709,0.0107957,0,0,0,0,0,0,0,0.0109982,0.0110552,0,0.0094071,0.0222366,0.0222634,0,0,0.0090773,0,0,0,0,0,0.0112581,0,0,0,0.0110877,0,0.0194065,0.009212,0.011119,0.0109509,0.0127599,0.0111526,0.0112661,0,0,0,0,0.0111801,0,0.0097122,0,0,0,0.0085703,0,0,0,0,0,0,0,0,0,0,0,0.052013,0.0178465,0.15212,0.0920368,0.0112579,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112034,0.0111172,0,0,0,0,0,0,0.0087727,0.0311621,0.0110821,0,0,0.0111364,0,0,0,0,0,0,0.0096651,0,0.0110612,0.0089088,0.0113335,0,0,0,0,0,0.008394,0,0,0,0,0.0112048,0.0109945,0.0118443,0.022114,0,0.0428921,0,0.0228978,0.0310699,0.0309751,0.0110922,0,0,0.0109689,0,0,0,0,0,0,0,0,0,0,0.0111789,0,0,0,0,0,0.0111223,0.0112572,0.021941,0.0111926,0.0964272,0.0222808,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111498,0,0.0220933,0.0111903,0.0111442,0,0.0115838,0,0.0198216,0.0084143,0,0,0,0,0,0,0,0,0,0,0,0.0091687,0,0,0,0.0111709,0.0110777,0,0,0,0.0110571,0,0,0,0.0198795,0,0.0110824,0,0.0109632,0.0110578,0.0221274,0.0110806,0,0,0.008907,0,0,0.0442249,0,0,0.010035,0,0.0112897,0,0,0.0103764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110339,0,0,0,0,0,0,0,0,0
