c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100
Intro_Text (UnityEngine.GameObject)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109803,0,0,0,0.0111362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110996,0,0,0,0,0,0,0,0,0,0,0.0227559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110364,0,0.010999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111756,0,0,0.0111174,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096932,0.0201352,0.0086176,0,0,0,0,0,0,0,0,0,0,0,0.0110675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417042,0,0,0,0,0.0197583,0,0,0,0.0093634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221244,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116634,0,0,0,0,0,0,0.0110839,0,0,0,0.008931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0090597,0.0087656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106287,0,0,0.0111541,0.0110085,0,0.0111623,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311411,0,0,0,0,0,0,0,0,0,0,0,0.0113443,0,0.0089396,0,0,0.0111276,0,0,0,0,0,0,0,0,0,0,0,0.0092979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177944,0,0.0110781,0,0,0,0,0,0,0,0,0,0,0,0.0104255,0,0.0222401,0.0221238,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191155,0.0313269,0.0093744,0,0,0,0,0,0,0,0,0,0,0.009739,0.0336811,0.0111282,0,0,0,0,0,0,0,0,0,0,0,0,0.0110742,0,0,0,0,0,0,0.0089337,0,0,0,0,0,0.07781301,0,0,0,0,0.0102111,0,0,0,0,0,0.0221349,0,0,0,0,0,0,0,0,0,0,0.0311362,0,0,0,0.0115511,0,0,0,0,0,0.0110096,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305827,0.0174014,0.0420841,0.0111317,0,0.011192,0,0,0,0,0,0,0.0113687,0,0,0,0,0,0,0,0,0.0110048,0.0111837,0,0,0,0,0,0,0,0,0,0,0,0.0093154,0,0,0,0,0,0,0.0088766,0,0,0,0,0,0,0,0,0,0,0,0.0092354,0.0099935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0085221,0,0.0090719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201591,0,0.0100063,0.0213815,0,0,0,0,0,0,0.0222189,0,0.0217864,0,0,0,0,0,0,0,0.0111051,0,0,0.0111096,0,0,0,0,0,0,0.009544,0,0,0,0,0,0,0,0.0088714,0,0,0,0,0,0,0,0,0,0.011642,0,0,0,0,0.0112627,0.07760219,0,0,0.0110674,0,0,0,0,0.0114587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
